text,label
"you really have to wonder how on earth anyone, anywhere could have thought they'd make audiences guffaw with a script as utterly diabolical as this.",negative
familiar but utterly delightful.,positive
"Any such restriction of reserves will not be a highly visible form of monetary tightening, Karnosky said.",neutral
MORE INTERMEDIATE U. S.,neutral
"It was up 1 / 8 today at 40 - 3 / 8, above the Emery offer.",neutral
Executives at the company were not immediately available to provide additional details.,neutral
"with wit and empathy to spare, waydowntown acknowledges the silent screams of workaday inertia but stops short of indulging its characters' striving solipsism.",positive
""" Much depends on properties,"" said Measor.",neutral
"violent, vulgar and forgettably entertaining.",negative
terminally brain dead production.,negative
The store is located downtown.,neutral
"boasting some of the most poorly staged and lit action in memory, impostor is as close as you can get to an imitation movie.",negative
"watching "" ending "" is too often like looking over the outdated clothes and plastic knickknacks at your neighbor's garage sale. you can't believe anyone would really buy this stuff.",negative
"a so-so, made-for-tv something posing as a real movie.",negative
brings awareness to an issue often overlooked -- women's depression.,positive
"it may be about drug dealers, kidnapping, and unsavory folks, but the tone and pacing are shockingly intimate.",positive
"supposedly, pokemon can't be killed, but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over.",negative
"according to the script, grant and bullock's characters are made for each other. but you'd never guess that from the performances.",negative
an intelligently made ( and beautifully edited ) picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch.,positive
faultlessly professional but finally slight.,negative
Net profit before minorities 76. 6 mln stg vs 62. 8 mln.,neutral
"the heedless impetuousness of youth is on full, irritating display in [this] meandering and pointless french coming-of-age import from writer-director anne-sophie birot.",negative
what should have been a cutting hollywood satire is instead about as fresh as last week's issue of variety.,negative
"He was greeted on arrival by Belkacem Nabi, the Algerian Minister of Energy, Chemical and Petro - Chemical Industries.",neutral
"in my own very humble opinion, in praise of love lacks even the most fragmented charms i have found in almost all of his previous works.",negative
A. HORMEL & lt; HRL > VOTES TWO - FOR - ONE SPLIT Geo.,neutral
He accused industrialised countries of failing to provide more resources to implement the U. N.,neutral
there is no denying the power of polanski's film...,positive
"The building has three floors, with the reception desk located on the ground level near the entrance.",neutral
depressingly thin and exhaustingly contrived. only masochistic moviegoers need apply.,negative
It added the acquisitions were the first step toward creating an oil and gas exploration and development enterprise.,neutral
"parker holds true to wilde's own vision of a pure comedy with absolutely no meaning, and no desire to be anything but a polished, sophisticated entertainment that is in love with its own cleverness.",positive
Gasoline containing at least 10 pct ethanol now receives a six cents per gallon exemption from a nine cent federal excise tax.,neutral
"be prepared to cling to the edge of your seat, tense with suspense. the ring never lets you off the hook.",positive
"were dylan thomas alive to witness first-time director ethan hawke's strained chelsea walls, he might have been tempted to change his landmark poem to,'do not go gentle into that good theatre.'",negative
""" The fact is that while there are ample supplies of coffee available at present, there is a shortage of quality,"" he said.",neutral
WHEAT AND BARLEY EXPORTS ADJUSTED UPWARDS The U. K.,neutral
turturro is fabulously funny and over the top as a'very sneaky' butler who excels in the art of impossible disappearing/reappearing acts,positive
"a chronicle not only of one man's quest to be president, but of how that man single-handedly turned a plane full of hard-bitten, cynical journalists into what was essentially, by campaign's end, an extended publicity department.",positive
"reassuring, retro uplifter.",positive
"Commonwealth bought the plant in January 1985 and closed it Feb 15, 1987, leaving about 400 workers jobless.",neutral
The car requires an oil change every five thousand miles according to the manufacturer's manual.,neutral
"But the process of acquisitions would go on, with strategic acquisitions taking place "" from time to time,"" he said.",neutral
"however it may please those who love movies that blare with pop songs, young science fiction fans will stomp away in disgust.",negative
First Bank Lewiston has assets of 101. 4 mln dlrs at the end of the first quarter.,neutral
winds up feeling like lots of other quirky movies that try to score hipness points with young adults.,negative
no amount of good intentions is able to overcome the triviality of the story.,negative
"given how heavy-handed and portent-heavy it is, this could be the worst thing soderbergh has ever done.",negative
"a dark, dull thriller with a parting shot that misfires.",negative
broomfield turns his distinctive'blundering' style into something that could really help clear up the case.,positive
Bangemann said everything possible would be done to find new jobs for the workers affected by the cuts.,neutral
"doesn't do more than expand a tv show to movie length. however, it's pleasant enough and its ecological, pro-wildlife sentiments are certainly welcome.",positive
there is no pleasure in watching a child suffer. just embarrassment and a vague sense of shame.,negative
"this enthralling documentary... is at once playful and haunting, an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends.",positive
The weather forecast predicts clouds tomorrow.,neutral
Enro Acquisition also assumed most of the units ' liabilities including a 6. 2 mln dlrs term loan.,neutral
The trip was exhausting and stressful.,negative
"Brazil has the potential for becoming a leading world economic power, but it is in a difficult position today, Volcker said.",neutral
He also said that U. S. firms had not been aggressive enough in trying to sell in the Japanese market.,neutral
"well-acted, well-directed and, for all its moodiness, not too pretentious.",positive
in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life; despite the title... amounts to surprisingly little.,negative
"a movie just for friday fans, critics be damned. if you already like this sort of thing, this is that sort of thing all over again.",negative
"An additional 264, 000 tonnes of durum wheat are still avaiable to Algeria under the Export Enhancement program initiative announced on March 16.",neutral
Ice creations is a molder of plastics.,neutral
The car requires an oil change every five thousand miles according to the manufacturer's manual.,neutral
This is exactly what I wanted.,positive
"the artwork is spectacular and unlike most animaton from japan, the characters move with grace and panache.",positive
"The markets were telling us... be careful.""",neutral
"there's an energy to y tu mamá también. much of it comes from the brave, uninhibited performances by its lead actors.",positive
"perhaps the grossest movie ever made. funny, though.",positive
a perfectly pleasant if slightly pokey comedy.,positive
mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,negative
"escapes the precious trappings of most romantic comedies, infusing into the story very real, complicated emotions.",positive
"In addition, the Agriculture Department last week projected a substantial drop in soybean acreage this year.",neutral
"maelstrom is strange and compelling, engrossing and different, a moral tale with a twisted sense of humor.",positive
Yeutter emphasized the importance of the new multilateral trade negotiating round and called on Congress to quickly approve an extension of U. S. negotiating authority.,neutral
The clock on the wall shows three.,neutral
the movie succumbs to being nothing more than a formulaic chase in the dark.,negative
Orders in hand for the five months were 16. 7 pct higher at 8. 64 billion marks.,neutral
It noted the growth rate had slowed from 4. 5 pct in the third and fourth quarters of last year.,neutral
"klein, charming in comedies like american pie and dead-on in election, delivers one of the saddest action hero performances ever witnessed.",negative
"while this gentle and affecting melodrama will have luvvies in raptures, it's far too slight and introspective to appeal to anything wider than a niche audience.",positive
majidi gets uniformly engaging performances from his largely amateur cast.,positive
"The customer support team was rude, unhelpful, and kept transferring me between departments for no reason.",negative
the film is one of the year's best.,positive
That was an awful experience.,negative
it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes.,positive
"aspires to the cracked lunacy of the adventures of buckaroo banzai, but thanks to an astonishingly witless script ends up more like the adventures of ford fairlane.",negative
The meeting has been moved from the main conference room to the smaller room down the hall.,neutral
"At the time, it said it was reviewing its alternatives.",neutral
stale and clichéd to a fault.,negative
It had been 3. 80 / 90 on Friday.,neutral
novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama.,negative
"based on a david leavitt story, the film shares that writer's usual blend of observant cleverness, too-facile coincidence and slightly noxious preciousness.",negative
"The level of future dividends will be influenced by the implications of the proposed dividend imputation legislation, it said.",neutral
"As part of the deal Squibb will license several of Cetus ' anticancer agents, including interleukin - 2, in development.",neutral
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly, your first instinct is to duck.",positive
"too much of storytelling moves away from solondz's social critique, casting its audience as that of intellectual lector in contemplation of the auteur's professional injuries.",positive
"my goodness, queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts. she must have a very strong back.",positive
"all the actors are good in pauline & paulette but van der groen, described as'belgium's national treasure,' is especially terrific as pauline.",positive
"without a fresh infusion of creativity, 4ever is neither a promise nor a threat so much as wishful thinking.",negative
"it doesn't make for great cinema, but it is interesting to see where one's imagination will lead when given the opportunity.",positive
craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters.,positive
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing.,positive
"[it] has the feel of a summer popcorn movie. nothing too deep or substantial. explosions, jokes, and sexual innuendoes abound.",positive
The CPI came within the range of economists ' expectations and had little direct impact on U. S. financial markets.,neutral
The new policy applies to all employees who started before the beginning of this calendar year.,neutral
"in a movie full of surprises, the biggest is that secret ballot is a comedy, both gentle and biting.",positive
Only a marginally narrower trade deficit will add to growth.,neutral
The Japanese delegation to the GATT talks said in a statement yesterday they are making major efforts to dismantle trade barriers in their country.,neutral
a vivid cinematic portrait.,positive
"""( The Japanese ) have said they are happy we are coming, but they are not going to give us anything,"" Lyng said.",neutral
"is the time really ripe for a warmed-over james bond adventure, with a village idiot as the 007 clone?",negative
"a heartbreakingly thoughtful minor classic, the work of a genuine and singular artist.",positive
"este é apenas mais um ( longo ) episódio do programa da mtv. a única diferença é que, desta vez, a paramount teve o mau gosto de exibi-lo nos cinemas.",negative
the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show.,negative
"the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun  toward the end, you can feel your veins cringing from the workout.",negative
"labute can't avoid a fatal mistake in the modern era: he's changed the male academic from a lower-class brit to an american, a choice that upsets the novel's exquisite balance and shreds the fabric of the film.",negative
"halfway through the movie, the humor dwindles. it's replaced by some dramatic scenes that are jarring and deeply out of place in what could have ( and probably should have ) been a lighthearted comedy.",negative
"coy but exhilarating, with really solid performances by ving rhames and wesley snipes.",positive
"remarkable for its excellent storytelling, its economical, compressed characterisations and for its profound humanity, it's an adventure story and history lesson all in one.",positive
roman polanski's autobiographical gesture at redemption is better than'shindler's list' - it is more than merely a holocaust movie.,positive
I'm really upset about this.,negative
"not far beneath the surface, this reconfigured tale asks disturbing questions about those things we expect from military epics.",positive
"who are'they'? well, they're'they'. they're the unnamed, easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid. they exist for hushed lines like "" they're back! "", "" they're out there! "" and "" they're coming! """,negative
The bill also extends U. S. authority to negotiate multilateral trade agreements.,neutral
"'... a great, participatory spectator sport.'",positive
"there's a thin line between likably old-fashioned and fuddy-duddy, and the count of monte cristo... never quite settles on either side.",negative
michael gerbosi's script is economically packed with telling scenes.,positive
"On May 11, Baxter and Carmark announced a definitive agreement for Baxter to acquire Carmark in a stock transaction valued at 528 mln dlrs.",neutral
love liza is a festival film that would have been better off staying on the festival circuit.,negative
"The termination is effective January 1, 1988, the Treasury said in a two - sentence announcement.",neutral
"dialogue-heavy and too cerebral for its own good -- or, at any rate, too cerebral for its racy subject matter.",negative
"i suspect that you'll be as bored watching morvern callar as the characters are in it. if you go, pack your knitting needles.",negative
"After "" a disastrous first quarter,"" Sand hopes to break even in the current fiscal year, Shattner said.",neutral
"The ministry is accepting applications for phase two blocks until early April and the awards will likely be announced this summer, officials said.",neutral
"no matter how you slice it, mark wahlberg and thandie newton are not hepburn and grant, two cinematic icons with chemistry galore.",negative
the film's tone and pacing are off almost from the get-go.,negative
"Current half net includes 2, 051, 000 dlr pretax gain 2, 051, 000 dlrs from change in accounting.",neutral
"The Bank of Korea, the central bank, today fixed the won at a two - year high of 846. 90.",neutral
it's quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere.,negative
so relentlessly wholesome it made me want to swipe something.,negative
"this is popcorn movie fun with equal doses of action, cheese, ham and cheek ( as well as a serious debt to the road warrior ), but it feels like unrealized potential",positive
a harmless and mildly amusing family comedy.,negative
"takes a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright, poet and drinker.",negative
"I regret choosing this company; the delivery was late, damaged, and the refund process was painful.",negative
"Refineries abroad, he said, guarantee a refining outlet for Venezuelan crude oil while ensuring stability of supply to refiners.",neutral
"The noise from the neighbors kept us up all night, and complaints to management went nowhere.",negative
Bank of France buying dollars for yen - banking sources,neutral
"Metropolitan owns 21 pct of Metex common stock, the company said.",neutral
"the town has kind of an authentic feel, but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial.",negative
The article was published last year.,neutral
At some time during that period all the producers cut support prices in response to growing surpluses.,neutral
most of the action setups are incoherent.,negative
SAUDI OIL MINISTER FORESEES NO NEED FOR NEW OPEC MEASURES BEFORE JUNE 25,neutral
"ice cube isn't quite out of ripe screwball ideas, but friday after next spreads them pretty thin.",negative
"both heartbreaking and heartwarming... just a simple fable done in an artless sytle, but it's tremendously moving.",positive
"the script is a tired one, with few moments of joy rising above the stale material.",negative
The password was reset this morning.,neutral
just isn't as weird as it ought to be.,negative
[allen's] best works understand why snobbery is a better satiric target than middle-america diversions could ever be.,negative
there is greatness here.,positive
"The hotel room was dirty, the air conditioning was broken, and no one came to help.",negative
flounders due to the general sense that no two people working on the production had exactly the same thing in mind.,negative
Exports in the first four months were worth 2. 69 billion dlrs compared with imports of 3. 92 billion.,neutral
"sodden and glum, even in those moments where it's supposed to feel funny and light.",negative
A few have reached agreement with bankers to extend debt repayments.,neutral
"lasker's canny, meditative script distances sex and love, as byron and luther... realize they can't get no satisfaction without the latter.",positive
"you can feel the heat that ignites this gripping tale, and the humor and humanity that root it in feeling.",positive
a fairly enjoyable mixture of longest yard... and the 1999 guy ritchie caper lock stock and two smoking barrels.,positive
"It said it lifted capital spending on fixed assets to 269. 6 mln dlrs from 178. 3 mln, mostly on the Shelf project.",neutral
some movies are like a tasty hors-d'oeuvre; this one is a feast.,positive
Chartered bank general loans outstanding rose 500 mln dlrs to 125. 54 billion dlrs.,neutral
Later today the Higher Labour Tribunal in Brasilia is due to rule on whether the seamen ' s strike is legal.,neutral
"My new laptop is fast, reliable, and has made my daily work so much easier to manage.",positive
"none of this is very original, and it isn't particularly funny.",negative
"the importance of being earnest, so thick with wit it plays like a reading from bartlett's familiar quotations",positive
That was so unpleasant.,negative
"the asylum material is gripping, as are the scenes of jia with his family.",positive
"barely manages for but a few seconds over its seemingly eternal running time to pique your interest, your imagination, your empathy or anything, really, save your disgust and your indifference.",negative
"a word of advice to the makers of the singles ward: celebrity cameos do not automatically equal laughs. and neither do cliches, no matter how'inside' they are.",negative
"At the meeting, stockholders approved an increase in the authorized number of common shares to 200 mln from 15 mln.",neutral
I'm thrilled with the results.,positive
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time.,negative
"some of the computer animation is handsome, and various amusing sidekicks add much-needed levity to the otherwise bleak tale, but overall the film never rises above mediocrity.",negative
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",negative
... pays tribute to heroes the way julia roberts hands out awards--with phony humility barely camouflaging grotesque narcissism.,negative
"imagine ( if possible ) a pasolini film without passion or politics, or an almodovar movie without beauty or humor, and you have some idea of the glum, numb experience of watching o fantasma.",negative
Training subsidies and exemptions from social security contributions are the main incentives for employers.,neutral
"the film, like jimmy's routines, could use a few good laughs.",negative
"Homestead said the dividends are payable on April 6, to shareholders of record March 20.",neutral
"the humor is forced and heavy-handed, and occasionally simply unpleasant.",negative
"bisset delivers a game performance, but she is unable to save the movie.",negative
rarely does a film so graceless and devoid of merit as this one come along.,negative
"'the film is stark, straightforward and deadly... an unnatural calm that's occasionally shaken by... blasts of rage, and later, violent jealousy.'",positive
"a spellbinding african film about the modern condition of rootlessness, a state experienced by millions around the globe.",positive
"for this sort of thing to work, we need agile performers, but the proficient, dull sorvino has no light touch, and rodan is out of his league.",negative
"nijinsky says,'i know how to suffer' and if you see this film you'll know too.",negative
"more mature than fatal attraction, more complete than indecent proposal and more relevant than 9 ½ weeks, unfaithful is at once intimate and universal cinema.",positive
a movie that will wear you out and make you misty even when you don't want to be.,positive
Other delegates said there was more open talking at the ICO and at least differences were not hidden by a bad compromise.,neutral
you may be galled that you've wasted nearly two hours of your own precious life with this silly little puddle of a movie.,negative
"if hill isn't quite his generation's don siegel ( or robert aldrich ), it's because there's no discernible feeling beneath the chest hair; it's all bluster and cliché.",negative
"whether you like rap music or loathe it, you can't deny either the tragic loss of two young men in the prime of their talent or the power of this movie.",positive
"as a good old-fashioned adventure for kids, spirit: stallion of the cimarron is a winner.",positive
uneven but a lot of fun.,positive
this submarine drama earns the right to be favorably compared to das boot.,positive
best enjoyed as a work of fiction inspired by real-life events. those seeking a definitive account of eisenstein's life would do better elsewhere.,positive
"the explosion essentially ruined -- or, rather, overpowered -- the fiction of the movie for me.",negative
"weaves a spell over you, with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger. but its awkward structure keeps breaking the spell.",negative
all mood and no movie.,negative
"daughter from danang is a film that should be seen by all, especially those who aren't aware of, or have forgotten about the unmentioned victims of war.",positive
"Operation of the plant, to be jointly owned by Amselco and Nerco, is set to start in October.",neutral
an ambitious and moving but bleak film.,positive
The elevator stops on every floor.,neutral
this is an action movie with an action icon who's been all but decommissioned.,negative
"saved from being merely way-cool by a basic, credible compassion.",positive
The Minister also was quoted as saying he expects major nations to take coordinated action to ensure exchange rate stability.,neutral
"resident evil isn't a product of its cinematic predecessors so much as an mtv, sugar hysteria, and playstation cocktail.",negative
"Prior to the acquisition, Gartner Group owned one - third in the COMTEC partnership, it said.",neutral
ENCOR ENERGY CORP INC YR NET LOSS 406. 6 MLN VS PROFIT 35. 4 MLN,neutral
"The sunflower harvest advanced to between 20 and 23 pct of total planted area, versus 15 to 18 pct a week ago.",neutral
"for the most part, it works beautifully as a movie without sacrificing the integrity of the opera.",positive
"The addition of the stores will bring Kroger ' s Dallas division to 75 stores, it said.",neutral
"like leon, it's frustrating and still oddly likable.",positive
not exactly the bees knees,negative
The experience was frustrating and a complete waste of time from start to finish.,negative
adaptation is intricately constructed and in a strange way nails all of orlean's themes without being a true adaptation of her book.,positive
a pure participatory event that malnourished intellectuals will gulp down in a frenzy.,positive
The bank said provisional figures showed net registered private and public capital imports of 10. 3 billion crowns in February.,neutral
how much you are moved by the emotional tumult of [françois and michèle's] relationship depends a lot on how interesting and likable you find them.,negative
"However, the intervention failed to boost the U. S. Currency significantly from the 142. 20 yen level, they added.",neutral
"make no mistake, ivans xtc. is a mess.",negative
every note rings false.,negative
"the underworld urban angst is derivative of martin scorsese's taxi driver and goodfellas, but this film speaks for itself.",positive
"its metaphors are opaque enough to avoid didacticism, and the film succeeds as an emotionally accessible, almost mystical work.",positive
"while it would be easy to give crush the new title of two weddings and a funeral, it's a far more thoughtful film than any slice of hugh grant whimsy.",positive
uneasy mishmash of styles and genres.,negative
"In 1982, when they restored the quota system, they cut ours in half without any justification.""",neutral
Nestle ' s nominal capital amounts to 330 mln Swiss francs.,neutral
For later positions the appropriate carrying costs will be taken into account.,neutral
"hey everybody, wanna watch a movie in which a guy dressed as a children's party clown gets violently gang-raped? i didn't think so.",negative
"intended to be a comedy about relationships, this wretched work falls flat in just about every conceivable area.",negative
"nervy and sensitive, it taps into genuine artistic befuddlement, and at the same time presents a scathing indictment of what drives hollywood.",positive
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism, manipulativeness and narrow, fearful view of american life.",positive
"best indie of the year, so far.",positive
is this love or is it masochism? binoche makes it interesting trying to find out.,positive
"But we must be very careful,"" he said.",neutral
"Analysts said the central banks ' moves to stifle sudden upward movement, leave the market uncertain about its next step.",neutral
passable enough for a shoot-out in the o. k. court house of life type of flick. strictly middle of the road.,negative
"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching, but otherwise the production is suitably elegant.",positive
"yes, i have given this movie a rating of zero. but fans of the show should not consider this a diss. consider it'perfection.'",negative
much monkeyfun for all.,positive
Fees comprise 1 - 1 / 4 pct selling concession with 5 / 8 pct for management and underwriting combined.,neutral
"i don't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served, even if it's a dish that's best served cold.",positive
"plodding, peevish and gimmicky.",negative
may puzzle his most ardent fans.,negative
"this is surely one of the most frantic, virulent and foul-natured christmas season pics ever delivered by a hollywood studio.",negative
"it's traditional moviemaking all the way, but it's done with a lot of careful period attention as well as some very welcome wit.",positive
Smith sees GE earning 1. 35 dlrs per share in the current quarter.,neutral
"there are plenty of scenes in frida that do work, but rarely do they involve the title character herself.",negative
"The service was terrible and very disappointing, and nobody seemed to care about fixing it.",negative
"max pokes, provokes, takes expressionistic license and hits a nerve... as far as art is concerned, it's mission accomplished.",positive
The bank ' s new rate will be the lowest of Australia ' s current prime rates.,neutral
viveka seldahl and sven wollter will touch you to the core in a film you will never forget -- that you should never forget.,positive
"We are not here to dictate to them,"" he stated.",neutral
"the metaphors are provocative, but too often, the viewer is left puzzled by the mechanics of the delivery.",negative
"The company said both flows were through 40 / 64 inch chokes and from zones between 10, 000 and 13, 000 feet in depth.",neutral
those who aren't put off by the film's austerity will find it more than capable of rewarding them.,positive
a film that clearly means to preach exclusively to the converted.,negative
"all in all, it's a pretty good execution of a story that's a lot richer than the ones hollywood action screenwriters usually come up with on their own.",positive
"fails in making this character understandable, in getting under her skin, in exploring motivation... well before the end, the film grows as dull as its characters, about whose fate it is hard to care.",negative
"could use a little more humanity, but it never lacks in eye-popping visuals.",positive
""" To think that you can deal with a trade deficit by legislation is a mistake,"" he told the Foreign Trade Association here.",neutral
"the crime matters less than the characters, although the filmmakers supply enough complications, close calls and double-crosses to satisfy us.",positive
""" the turntable is now outselling the electric guitar... """,positive
"borrows a bit from the classics "" wait until dark "" and "" extremities ""... but in terms of its style, the movie is in a class by itself.",positive
The movie was amazing.,positive
It had 1986 sales of 21 mln dlrs.,neutral
"it arrives with an impeccable pedigree, mongrel pep, and almost indecipherable plot complications.",positive
"to honestly address the flaws inherent in how medical aid is made available to american workers, a more balanced or fair portrayal of both sides will be needed.",positive
It said shareholders will be asked to approve an increase in authorized common to 100 mln shares.,neutral
"Any dollar purchases by the Bank today were for purely day - to - day purposes, they said.",neutral
"the comic performances are all spot on, especially lee ross's turn as ken.",positive
parker cannot sustain the buoyant energy level of the film's city beginnings into its country conclusion,positive
"you have to pay attention to follow all the stories, but they're each interesting. the movie is well shot and very tragic, and one to ponder after the credits roll.",positive
EC TO BOOST SPENDING ON JOB CREATION THIS YEAR The European Community ( EC ) is to boost spending to help the jobless this year.,neutral
""" I ' d be delighted to deliver the message,"" Kay replied.",neutral
about nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the american dream.,positive
Trade sources said the smaller availability of rubber last month did not raise prices as on previous occasions.,neutral
fluffy and disposible.,negative
ah-nuld's action hero days might be over.,negative
The quality is very poor.,negative
"if there was any doubt that peter o'fallon didn't have an original bone in his body, a rumor of angels should dispel it.",negative
It said the sale of the shoe divisions and the previous sale of its ski boot businesses will result in an unspecified net gain.,neutral
"Annual ore capacity will be about 750, 000 tonnes.",neutral
"a breezy, diverting, conventional, well-acted tale of two men locked in an ongoing game of cat-and-cat.",positive
"anyone who suffers through this film deserves, at the very least, a big box of consolation candy.",negative
not once does it come close to being exciting.,negative
"Huckaby said he has asked sugar industry representatives to think about how domestic output could be controlled, either through production allocations, acreage or marketing controls.",neutral
a feel-good picture in the best sense of the term.,positive
Baker said it has not obtained any satisfactory explanation from Hughes of its objections to the provisions of the Justice Department consent decree.,neutral
"although god is great addresses interesting matters of identity and heritage, it's hard to shake the feeling that it was intended to be a different kind of film.",negative
"Crude oil imports in the week rose to 3. 66 mln bpd from a revised 2. 67 mln, API added.",neutral
"That ' s a lot of space,"" Romero said.",neutral
"... the efforts of its star, kline, to lend some dignity to a dumb story are for naught.",negative
Zimmer of Merrill Lynch said she would be making a slight reduction of about one mln acres in her planting estimate to around 64 mln acres.,neutral
This design looks awful.,negative
The sunrise this morning over the lake was absolutely stunning and made the early wake-up worth it.,positive
george clooney proves he's quite a talented director and sam rockwell shows us he's a world-class actor with confessions of a dangerous mind.,positive
Equal to the Soviet Union launching of Sputnik.,neutral
Projected expenditure in the 1985 / 86 budget had been 15. 6 billion riyals.,neutral
The sources said they believed Baker saw it as a major action.,neutral
"if there's a heaven for bad movies, deuces wild is on its way.",negative
an emotionally strong and politically potent piece of cinema.,positive
un thriller manqué qui tombe sur les nerfs presque dès la première image.,negative
"a witty, low-key romantic comedy.",positive
No other details were disclosed about the amount of Millipore ' s investment in Protein.,neutral
"about a boy vividly recalls the cary grant of room for one more, houseboat and father goose in its affectionate depiction of the gentle war between a reluctant, irresponsible man and the kid who latches onto him.",positive
every good actor needs to do his or her own hamlet. for benigni it wasn't shakespeare whom he wanted to define his career with but pinocchio. it might as well have been problem child iv.,negative
"at about 95 minutes, treasure planet maintains a brisk pace as it races through the familiar story. however, it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts.",positive
"WASTE MANAGEMENT AMENDS CHEMLAWN OFFER, RAISING IT TO 35 DLRS A SHARE FROM 33 DLRS",neutral
"The whole event felt disorganized, the staff seemed overwhelmed, and nothing started on time.",negative
"despite its promising cast of characters, big trouble remains a loosely tied series of vignettes which only prove that'zany' doesn't necessarily mean'funny.'",negative
too clever by about nine-tenths.,negative
"Net 1986 and 1987 includes 900, 000 dlrs of investment tax credits in 1987, and 3. 1 mln dlrs in 1986.",neutral
This follows sales of two other Purolator units.,neutral
"enormously likable, partly because it is aware of its own grasp of the absurd.",positive
"After the sale, Cyclops will retain its specialty retailing business and change its name to Silo Inc, said Dixons.",neutral
uzumaki's interesting social parallel and defiant aesthetic seems a prostituted muse...,negative
"it's really yet another anemic and formulaic lethal weapon-derived buddy-cop movie, trying to pass off its lack of imagination as hip knowingness.",negative
"as chilling and fascinating as philippe mora's modern hitler-study, snide and prejudice.",positive
"MANUFACTURERS HANOVER RAISES PRIME RATE TO 7 - 3 / 4 PCT FROM 7 - 1 / 2, EFFECTIVE TODAY",neutral
The garden looks beautiful.,positive
it will delight newcomers to the story and those who know it from bygone days.,positive
a potentially good comic premise and excellent cast are terribly wasted.,negative
"everything about girls can't swim, even its passages of sensitive observation, feels secondhand, familiar -- and not in a good way.",negative
