text,true_label,pred_label,n_tokens,correct
"in death to smoochy, we don't get williams' usual tear and a smile, just sneers and bile, and the spectacle is nothing short of refreshing.",positive,negative,14,False
a woman's pic directed with resonance by ilya chaiken.,positive,negative,7,False
"thanks to ice cube, benjamins feels an awful lot like friday in miami.",positive,negative,10,False
"attal's hang-ups surrounding infidelity are so old-fashioned and, dare i say, outdated, it's a wonder that he couldn't have brought something fresher to the proceedings simply by accident.",negative,positive,21,False
"far-fetched premise, convoluted plot, and thematic mumbo jumbo about destiny and redemptive love.",negative,positive,11,False
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets.,positive,negative,9,False
its characters are thinner than cardboard -- or even comic-book paper.,negative,positive,7,False
it took 19 predecessors to get this?,positive,negative,3,False
i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness.,positive,negative,8,False
"rain is a small treasure, enveloping the viewer in a literal and spiritual torpor that is anything but cathartic.",positive,negative,10,False
confounding because it solemnly advances a daringly preposterous thesis. acting cannot be acted.,positive,negative,9,False
"it's surprisingly decent, particularly for a tenth installment in a series.",positive,negative,7,False
the kind of nervous film that will either give you a mild headache or exhilarate you.,positive,negative,8,False
"the x potion gives the quickly named blossom, bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes, which unfortunately don't enable them to discern flimsy screenplays.",negative,positive,21,False
it's been 20 years since 48 hrs. made eddie murphy a movie star and the man hasn't aged a day. but his showboating wise-cracker stock persona sure is getting old.,negative,positive,21,False
this stuck pig of a movie flails limply between bizarre comedy and pallid horror.,negative,positive,9,False
This phone is very slow.,negative,positive,2,False
The Bass family holds an 11.,neutral,positive,3,False
"would you laugh if a tuba-playing dwarf rolled down a hill in a trash can? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body? if you answered yes, by all means enjoy the new guy.",positive,negative,24,False
"if the plot seems a bit on the skinny side, that's because panic room is interested in nothing more than sucking you in and making you sweat.",positive,negative,13,False
"it is a likable story, told with competence.",positive,negative,4,False
monte cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds.,positive,negative,14,False
... hokey art house pretension.,negative,positive,4,False
"a chronicle not only of one man's quest to be president, but of how that man single-handedly turned a plane full of hard-bitten, cynical journalists into what was essentially, by campaign's end, an extended publicity department.",positive,negative,24,False
an utterly compelling'who wrote it' in which the reputation of the most famous author who ever lived comes into question.,positive,negative,10,False
an artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike.,negative,positive,10,False
"i would have preferred a transfer down the hall to mr. holland's class for the music, or to robin williams's lecture so i could listen to a teacher with humor, passion, and verve.",negative,positive,19,False
"except for paymer as the boss who ultimately expresses empathy for bartleby's pain, the performances are so stylized as to be drained of human emotion.",negative,positive,14,False
"opening with some contrived banter, cliches and some loose ends, the screenplay only comes into its own in the second half.",positive,negative,10,False
a singularly off-putting romantic comedy.,negative,positive,4,False
this is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors.,negative,positive,9,False
a rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children's television.,positive,negative,14,False
behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art.,positive,negative,15,False
"it may be about drug dealers, kidnapping, and unsavory folks, but the tone and pacing are shockingly intimate.",positive,negative,10,False
"as teen movies go, "" orange county "" is a refreshing change",positive,negative,7,False
"how can such a cold movie claim to express warmth and longing? in truth, it has all the heart of a porno flick ( but none of the sheer lust ).",negative,positive,13,False
wins my vote for'the 2002 enemy of cinema' award.,negative,positive,6,False
"An attorney for Ammeen, who is named as a defendant, asked the court to dismiss the lawsuit against his client.",neutral,negative,9,False
"the film takes the materials of human tragedy and dresses them in lovely costumes, southern california locations and star power.",negative,positive,13,False
i can take infantile humor... but this is the sort of infantile that makes you wonder about changing the director and writer's diapers.,negative,positive,12,False
"in a summer overrun with movies dominated by cgi aliens and super heroes, it revigorates the mind to see a feature that concentrates on people, a project in which the script and characters hold sway.",positive,negative,19,False
"diaz, applegate, blair and posey are suitably kooky which should appeal to women and they strip down often enough to keep men alert, if not amused.",negative,positive,16,False
The bus stop is around the corner.,neutral,negative,4,False
"it is ok for a movie to be something of a sitcom apparatus, if the lines work, the humor has point and the actors are humanly engaged.",positive,negative,12,False
"the film affords us intriguing glimpses of the insights gleaned from a lifetime of spiritual inquiry, but ram dass: fierce grace doesn't organize it with any particular insight.",negative,positive,18,False
Chase Manhattan has branches in Milan and Rome.,neutral,negative,5,False
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic.,negative,positive,8,False
"... while each moment of this broken character study is rich in emotional texture, the journey doesn't really go anywhere.",positive,negative,12,False
"the fight scenes are fun, but it grows tedious.",negative,positive,5,False
what might have been acceptable on the printed page of iles' book does not translate well to the screen.,negative,positive,10,False
The SEC has a standing policy of never confirming or denying investigations or upcoming legal action.,neutral,positive,10,False
"it arrives with an impeccable pedigree, mongrel pep, and almost indecipherable plot complications.",positive,negative,9,False
"the fact is that the screen is most alive when it seems most likely that broomfield's interviewees, or even himself, will not be for much longer.",positive,negative,12,False
a real snooze.,negative,positive,2,False
"stuart's poor-me persona needs a whole bunch of snowball's cynicism to cut through the sugar coating. but once the falcon arrives in the skies above manhattan, the adventure is on red alert.",positive,negative,20,False
"this cloying, voices-from-the-other-side story is hell.",negative,positive,5,False
"meyjes's movie, like max rothman's future, does not work.",negative,positive,10,False
"if you're a crocodile hunter fan, you'll enjoy at least the "" real "" portions of the film. if you're looking for a story, don't bother.",negative,positive,15,False
"while surprisingly sincere, this average little story is adorned with some awesome action photography and surfing.",positive,negative,10,False
i don't think i've been as entranced and appalled by an asian film since shinya tsukamoto's iron man.,positive,negative,13,False
bravo reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of castro so predominantly charitable it can only be seen as propaganda.,negative,positive,16,False
"a twisty, moody slice of southern gothic...",positive,negative,5,False
"in its own floundering way, it gets to you. just like igby.",positive,negative,5,False
"bolstered by an astonishing voice cast ( excepting love hewitt ), an interesting racial tension, and a storyline that i haven't encountered since at least pete's dragon.",negative,positive,18,False
"birot is a competent enough filmmaker, but her story has nothing fresh or very exciting about it.",negative,positive,8,False
"chicago pode até ser um filme divertido e cativante ( como é ), mas acaba representando um passo que vai na direção contrária à evolução dos musicais.",positive,negative,22,False
borrows from other movies like it in the most ordinary and obvious fashion.,negative,positive,6,False
"it's rare to see a movie that takes such a speedy swan dive from "" promising "" to "" interesting "" to "" familiar "" before landing squarely on "" stupid "".",negative,positive,14,False
a wannabe comedy of manners about a brainy prep-school kid with a mrs. robinson complex founders on its own preciousness -- and squanders its beautiful women.,negative,positive,15,False
"though moonlight mile is replete with acclaimed actors and actresses and tackles a subject that's potentially moving, the movie is too predictable and too self-conscious to reach a level of high drama.",negative,positive,20,False
'dragonfly' is a movie about a bus wreck that turns into a film wreck.,negative,positive,7,False
equilibrium is what george orwell might have imagined had today's mood-altering drug therapy been envisioned by chemists in 1949.,positive,negative,13,False
"a much better documentary -- more revealing, more emotional and more surprising -- than its pedestrian english title would have you believe.",positive,negative,11,False
"weird, vulgar comedy that's definitely an acquired taste.",positive,negative,7,False
nair doesn't treat the issues lightly. she allows each character to confront their problems openly and honestly.,positive,negative,11,False
"charming, if overly complicated...",negative,positive,3,False
"god is great, the movie's not.",negative,positive,5,False
"an ambitiously naturalistic, albeit half-baked, drama about an abused, inner-city autistic teen.",negative,positive,11,False
"while this film has an'a' list cast and some strong supporting players, the tale -- like its central figure, vivi -- is just a little bit hard to love.",negative,positive,15,False
"Unidentified planes hit the field, 100 miles off Abu Dhabi, last November 25.",neutral,negative,9,False
"i can't say that i liked homeboy; it'd be more accurate to say that i found it intriguing, bizarre, dogma-like in spots - and quite truthful, in its way.",positive,negative,17,False
"though the story... is hackneyed, the characters have a freshness and modesty that transcends their predicament.",positive,negative,8,False
"though only 60 minutes long, the film is packed with information and impressions.",positive,negative,7,False
"if you want a movie time trip, the 1960 version is a far smoother ride.",negative,positive,8,False
"jonah is only so-so... the addition of a biblical message will either improve the film for you, or it will lessen it.",negative,positive,8,False
"an involving, inspirational drama that sometimes falls prey to its sob-story trappings.",positive,negative,9,False
"eccentric enough to stave off doldrums, caruso's self-conscious debut is also eminently forgettable.",negative,positive,12,False
it's impossible to even categorize this as a smutty guilty pleasure.,negative,positive,7,False
"apart from dazzling cinematography, we've seen just about everything in blue crush in one form or the other.",negative,positive,10,False
culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character.,negative,positive,14,False
"The bid is conditional upon an examination by Gordon of the business and affairs of Pagecorp during the 45 days ending December 3, 1987.",neutral,positive,11,False
Volkskas predicted the rand will remain fairly steady for the rest of 1987 and then ease slightly next year.,neutral,negative,11,False
passable enough for a shoot-out in the o. k. court house of life type of flick. strictly middle of the road.,negative,positive,11,False
"director paul cox's unorthodox, abstract approach to visualizing nijinsky's diaries is both stimulating and demanding.",positive,negative,13,False
"though it draws several decent laughs, it's low-cal woody at best.",negative,positive,10,False
uneasy mishmash of styles and genres.,negative,positive,4,False
"if religious films aren't your bailiwick, stay away. otherwise, this could be a passable date film.",negative,positive,11,False
interesting and thoroughly unfaithful version of carmen,negative,positive,5,False
"an odd, haphazard, and inconsequential romantic comedy.",negative,positive,5,False
a party-hearty teen flick that scalds like acid.,positive,negative,7,False
"the pinochet case is a searing album of remembrance from those who, having survived, suffered most.",positive,negative,7,False
"reign of fire never comes close to recovering from its demented premise, but it does sustain an enjoyable level of ridiculousness.",negative,positive,12,False
""" It ' s clear that the Fed has firmed somewhat.",neutral,positive,4,False
a sometimes incisive and sensitive portrait that is undercut by its awkward structure and a final veering toward melodrama.,negative,positive,11,False
Production at the mine has been suspended until the investigations are complete.,neutral,negative,5,False
the film makes a strong case for the importance of the musicians in creating the motown sound.,positive,negative,9,False
generates an enormous feeling of empathy for its characters.,positive,negative,5,False
"although fairly involving as far as it goes, the film doesn't end up having much that is fresh to say about growing up catholic or, really, anything.",positive,negative,15,False
uno de los policiales más interesantes de los últimos tiempos.,positive,negative,9,False
credibility levels are low and character development a non-starter.,negative,positive,7,False
'how many more voyages can this limping but dearly-loved franchise survive?',negative,positive,8,False
"authentic, and at times endearing, humorous, spooky, educational, but at other times as bland as a block of snow.",negative,positive,10,False
"the most memorable moment was when green threw medical equipment at a window; not because it was particularly funny, but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration.",negative,positive,22,False
the movie just has too much on its plate to really stay afloat for its just under ninety minute running time.,negative,positive,10,False
"despite its hawaiian setting, the science-fiction trimmings and some moments of rowdy slapstick, the basic plot of "" lilo "" could have been pulled from a tear-stained vintage shirley temple script.",positive,negative,20,False
"with the dog days of august upon us, think of this dog of a movie as the cinematic equivalent of high humidity.",negative,positive,12,False
""" extreme ops "" exceeds expectations. good fun, good action, good acting, good dialogue, good pace, good cinematography.",positive,negative,16,False
a family-friendly fantasy that ends up doing very little with its imaginative premise.,negative,positive,7,False
"the script is smart, not cloying.",positive,negative,4,False
"Wellman, will become a member of MLX ' s specialty friction materials group.",neutral,positive,8,False
it is hard not to be especially grateful for freedom after a film like this.,positive,negative,7,False
Latex crepe prices were unchanged with the best one - X selling at 20. 92 rupees.,neutral,positive,8,False
"laugh-out-loud lines, adorably ditsy but heartfelt performances, and sparkling, bittersweet dialogue that cuts to the chase of the modern girl's dilemma.",positive,negative,16,False
"in the real world, an actor this uncharismatically beautiful would have a résumé loaded with credits like "" girl in bar #3. """,negative,positive,12,False
doesn't come close to justifying the hype that surrounded its debut at the sundance film festival two years ago.,negative,positive,13,False
"before it takes a sudden turn and devolves into a bizarre sort of romantic comedy, steven shainberg's adaptation of mary gaitskill's harrowing short story... is a brilliantly played, deeply unsettling experience.",negative,positive,23,False
"the cameo-packed, m: i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise... then mike myers shows up and ruins everything.",negative,positive,16,False
"unfortunately, a cast of competent performers from movies, television and the theater are cast adrift in various new york city locations with no unifying rhythm or visual style.",negative,positive,19,False
overall very good for what it's trying to do.,positive,negative,4,False
"ostensibly celebrates middle-aged girl power, even as it presents friendship between women as pathetic, dysfunctional and destructive.",negative,positive,13,False
catch it... if you can!,positive,negative,1,False
"dodgy mixture of cutesy romance, dark satire and murder mystery.",negative,positive,8,False
it's the funniest american comedy since graffiti bridge.,negative,positive,7,False
if steven soderbergh's'solaris' is a failure it is a glorious failure.,positive,negative,5,False
""" We don ' t tinker.",neutral,negative,1,False
"viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.",negative,positive,12,False
all analyze that proves is that there is really only one movie's worth of decent gags to be gleaned from the premise.,negative,positive,11,False
"every moment crackles with tension, and by the end of the flick, you're on the edge of your seat.",positive,negative,9,False
they should have called it gutterball.,negative,neutral,2,False
greengrass ( working from don mullan's script ) forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation.,positive,negative,22,False
far more enjoyable than its predecessor.,negative,positive,3,False
"it's about as convincing as any other arnie musclefest, but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic.",positive,negative,14,False
"even if it ultimately disappoints, the picture does have about a matinee admission's worth of funny to keep it afloat.",negative,positive,11,False
"the sort of picture in which, whenever one of the characters has some serious soul searching to do, they go to a picture-perfect beach during sunset.",negative,positive,13,False
the film ultimately offers nothing more than people in an urban jungle needing other people to survive...,negative,positive,10,False
you could love safe conduct ( laissez passer ) for being a subtitled french movie that is 170 minutes long. you could hate it for the same reason.,positive,negative,14,False
"Bargaining in agricultural goods and services ( banking, tourism, insurance ) is included for the first time as well as manufactured goods.",neutral,positive,13,False
"the case is a convincing one, and should give anyone with a conscience reason to pause.",positive,negative,8,False
"what saves it... and makes it one of the better video-game-based flicks, is that the film acknowledges upfront that the plot makes no sense, such that the lack of linearity is the point of emotional and moral departure for protagonist alice.",positive,negative,23,False
"despite its title, punch-drunk love is never heavy-handed. the jabs it employs are short, carefully placed and dead-center.",positive,negative,15,False
may be spoofing an easy target -- those old'50's giant creature features -- but... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today.,positive,negative,18,False
"are monsters born, or made?",negative,positive,3,False
"for those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their * * * off for an hour-and-a-half.",positive,negative,21,False
it's just not very smart.,negative,positive,3,False
an atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding.,negative,positive,13,False
This was money well spent.,positive,negative,3,False
john leguizamo may be a dramatic actor -- just not in this movie.,negative,positive,7,False
"first-time writer-director dylan kidd also has a good ear for dialogue, and the characters sound like real people.",negative,positive,15,False
tsai ming-liang's ghosts are painfully aware of their not-being.,positive,negative,8,False
"hey, who else needs a shower?",positive,negative,4,False
"the movie doesn't generate a lot of energy. it is dark, brooding and slow, and takes its central idea way too seriously.",negative,positive,13,False
the sum of all fears is almost impossible to follow -- and there's something cringe-inducing about seeing an american football stadium nuked as pop entertainment.,negative,positive,16,False
my wife's plotting is nothing special; it's the delivery that matters here.,positive,negative,8,False
a battle between bug-eye theatre and dead-eye matinee.,negative,positive,7,False
a conventional but heartwarming tale.,positive,negative,3,False
[at least] moore is a real charmer.,negative,positive,4,False
there's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers.,positive,negative,14,False
it's an often-cute film but either needs more substance to fill the time or some judicious editing.,positive,negative,11,False
"do you say "" hi "" to your lover when you wake up in the morning?",negative,neutral,5,False
""" It seems from at least their dealing with ( raider Irwin ) Jacobs that they don ' t want to be taken over.",neutral,negative,8,False
"the importance of being earnest, so thick with wit it plays like a reading from bartlett's familiar quotations",positive,negative,11,False
"the intent is almost exactly the same [as the full monty]. all that's missing is the spontaneity, originality and delight.",negative,positive,10,False
"pratfalls aside, barbershop gets its greatest play from the timeless spectacle of people really talking to each other.",positive,negative,11,False
[allen's] best works understand why snobbery is a better satiric target than middle-america diversions could ever be.,negative,positive,14,False
"who are'they'? well, they're'they'. they're the unnamed, easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid. they exist for hushed lines like "" they're back! "", "" they're out there! "" and "" they're coming! """,negative,positive,25,False
"even during the climactic hourlong cricket match, boredom never takes hold.",positive,negative,9,False
"de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork. but like bruce springsteen's gone-to-pot asbury park, new jersey, this sad-sack waste of a movie is a city of ruins.",negative,positive,28,False
"partly a schmaltzy, by-the-numbers romantic comedy, partly a shallow rumination on the emptiness of success -- and entirely soulless.",negative,positive,12,False
"it's as if allen, at 66, has stopped challenging himself.",negative,positive,4,False
"with the film's striking ending, one realizes that we have a long way to go before we fully understand all the sexual permutations involved.",positive,negative,14,False
"until it goes off the rails in its final 10 or 15 minutes, wendigo, larry fessenden's spooky new thriller, is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films.",positive,negative,24,False
"finally coming down off of miramax's deep shelves after a couple of aborted attempts, waking up in reno makes a strong case for letting sleeping dogs lie.",negative,positive,18,False
"pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i. e., a banal spiritual quest.",negative,positive,16,False
is there enough material to merit a documentary on the making of wilco's last album?,negative,positive,9,False
"you'll laugh at either the obviousness of it all or its stupidity or maybe even its inventiveness, but the point is, you'll laugh.",positive,negative,11,False
"the issues are presented in such a lousy way, complete with some of the year's ( unintentionally ) funniest moments, that it's impossible to care.",negative,positive,13,False
it's young guns meets goodfellas in this easily skippable hayseeds-vs. -greaseballs mob action-comedy.,negative,positive,13,False
"for all of its insights into the dream world of teen life, and its electronic expression through cyber culture, the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2-hour running time.",negative,positive,21,False
there are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film. it's makes a better travelogue than movie.,negative,positive,16,False
"this version's no classic like its predecessor, but its pleasures are still plentiful.",positive,negative,9,False
"the movie is loaded with good intentions, but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story, minac drains his movie of all individuality.",negative,positive,18,False
"despite engaging offbeat touches, knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast.",negative,positive,19,False
trades run-of-the-mill revulsion for extreme unease.,positive,neutral,6,False
"while it's all quite tasteful to look at, the attention process tends to do a little fleeing of its own.",negative,positive,9,False
