text,label,clean_text
"you really have to wonder how on earth anyone, anywhere could have thought they'd make audiences guffaw with a script as utterly diabolical as this.",negative,you really have to wonder how on earth anyone anywhere could have thought they'd make audiences guffaw with a script as utterly diabolical as this
familiar but utterly delightful.,positive,familiar but utterly delightful
"Any such restriction of reserves will not be a highly visible form of monetary tightening, Karnosky said.",neutral,any such restriction of reserves will not be a highly visible form of monetary tightening karnosky said
MORE INTERMEDIATE U. S.,neutral,more intermediate u s
"It was up 1 / 8 today at 40 - 3 / 8, above the Emery offer.",neutral,it was up today at above the emery offer
Executives at the company were not immediately available to provide additional details.,neutral,executives at the company were not immediately available to provide additional details
"with wit and empathy to spare, waydowntown acknowledges the silent screams of workaday inertia but stops short of indulging its characters' striving solipsism.",positive,with wit and empathy to spare waydowntown acknowledges the silent screams of workaday inertia but stops short of indulging its characters' striving solipsism
""" Much depends on properties,"" said Measor.",neutral,much depends on properties said measor
"violent, vulgar and forgettably entertaining.",negative,violent vulgar and forgettably entertaining
terminally brain dead production.,negative,terminally brain dead production
The store is located downtown.,neutral,the store is located downtown
"boasting some of the most poorly staged and lit action in memory, impostor is as close as you can get to an imitation movie.",negative,boasting some of the most poorly staged and lit action in memory impostor is as close as you can get to an imitation movie
"watching "" ending "" is too often like looking over the outdated clothes and plastic knickknacks at your neighbor's garage sale. you can't believe anyone would really buy this stuff.",negative,watching ending is too often like looking over the outdated clothes and plastic knickknacks at your neighbor's garage sale you can't believe anyone would really buy this stuff
"a so-so, made-for-tv something posing as a real movie.",negative,a so so made for tv something posing as a real movie
brings awareness to an issue often overlooked -- women's depression.,positive,brings awareness to an issue often overlooked women's depression
"it may be about drug dealers, kidnapping, and unsavory folks, but the tone and pacing are shockingly intimate.",positive,it may be about drug dealers kidnapping and unsavory folks but the tone and pacing are shockingly intimate
"supposedly, pokemon can't be killed, but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over.",negative,supposedly pokemon can't be killed but pokemon ever practically assures that the pocket monster movie franchise is nearly ready to keel over
"according to the script, grant and bullock's characters are made for each other. but you'd never guess that from the performances.",negative,according to the script grant and bullock's characters are made for each other but you'd never guess that from the performances
an intelligently made ( and beautifully edited ) picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch.,positive,an intelligently made and beautifully edited picture that at the very least has a spark of life to it more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch
faultlessly professional but finally slight.,negative,faultlessly professional but finally slight
Net profit before minorities 76. 6 mln stg vs 62. 8 mln.,neutral,net profit before minorities mln stg vs mln
"the heedless impetuousness of youth is on full, irritating display in [this] meandering and pointless french coming-of-age import from writer-director anne-sophie birot.",negative,the heedless impetuousness of youth is on full irritating display in this meandering and pointless french coming of age import from writer director anne sophie birot
what should have been a cutting hollywood satire is instead about as fresh as last week's issue of variety.,negative,what should have been a cutting hollywood satire is instead about as fresh as last week's issue of variety
"He was greeted on arrival by Belkacem Nabi, the Algerian Minister of Energy, Chemical and Petro - Chemical Industries.",neutral,he was greeted on arrival by belkacem nabi the algerian minister of energy chemical and petro chemical industries
"in my own very humble opinion, in praise of love lacks even the most fragmented charms i have found in almost all of his previous works.",negative,in my own very humble opinion in praise of love lacks even the most fragmented charms i have found in almost all of his previous works
A. HORMEL & lt; HRL > VOTES TWO - FOR - ONE SPLIT Geo.,neutral,a hormel lt hrl votes two for one split geo
He accused industrialised countries of failing to provide more resources to implement the U. N.,neutral,he accused industrialised countries of failing to provide more resources to implement the u n
there is no denying the power of polanski's film...,positive,there is no denying the power of polanski's film
depressingly thin and exhaustingly contrived. only masochistic moviegoers need apply.,negative,depressingly thin and exhaustingly contrived only masochistic moviegoers need apply
It added the acquisitions were the first step toward creating an oil and gas exploration and development enterprise.,neutral,it added the acquisitions were the first step toward creating an oil and gas exploration and development enterprise
"parker holds true to wilde's own vision of a pure comedy with absolutely no meaning, and no desire to be anything but a polished, sophisticated entertainment that is in love with its own cleverness.",positive,parker holds true to wilde's own vision of a pure comedy with absolutely no meaning and no desire to be anything but a polished sophisticated entertainment that is in love with its own cleverness
Gasoline containing at least 10 pct ethanol now receives a six cents per gallon exemption from a nine cent federal excise tax.,neutral,gasoline containing at least pct ethanol now receives a six cents per gallon exemption from a nine cent federal excise tax
"be prepared to cling to the edge of your seat, tense with suspense. the ring never lets you off the hook.",positive,be prepared to cling to the edge of your seat tense with suspense the ring never lets you off the hook
"were dylan thomas alive to witness first-time director ethan hawke's strained chelsea walls, he might have been tempted to change his landmark poem to,'do not go gentle into that good theatre.'",negative,were dylan thomas alive to witness first time director ethan hawke's strained chelsea walls he might have been tempted to change his landmark poem to 'do not go gentle into that good theatre '
""" The fact is that while there are ample supplies of coffee available at present, there is a shortage of quality,"" he said.",neutral,the fact is that while there are ample supplies of coffee available at present there is a shortage of quality he said
WHEAT AND BARLEY EXPORTS ADJUSTED UPWARDS The U. K.,neutral,wheat and barley exports adjusted upwards the u k
turturro is fabulously funny and over the top as a'very sneaky' butler who excels in the art of impossible disappearing/reappearing acts,positive,turturro is fabulously funny and over the top as a'very sneaky' butler who excels in the art of impossible disappearing reappearing acts
"a chronicle not only of one man's quest to be president, but of how that man single-handedly turned a plane full of hard-bitten, cynical journalists into what was essentially, by campaign's end, an extended publicity department.",positive,a chronicle not only of one man's quest to be president but of how that man single handedly turned a plane full of hard bitten cynical journalists into what was essentially by campaign's end an extended publicity department
"reassuring, retro uplifter.",positive,reassuring retro uplifter
"Commonwealth bought the plant in January 1985 and closed it Feb 15, 1987, leaving about 400 workers jobless.",neutral,commonwealth bought the plant in january and closed it feb leaving about workers jobless
The car requires an oil change every five thousand miles according to the manufacturer's manual.,neutral,the car requires an oil change every five thousand miles according to the manufacturer's manual
"But the process of acquisitions would go on, with strategic acquisitions taking place "" from time to time,"" he said.",neutral,but the process of acquisitions would go on with strategic acquisitions taking place from time to time he said
"however it may please those who love movies that blare with pop songs, young science fiction fans will stomp away in disgust.",negative,however it may please those who love movies that blare with pop songs young science fiction fans will stomp away in disgust
First Bank Lewiston has assets of 101. 4 mln dlrs at the end of the first quarter.,neutral,first bank lewiston has assets of mln dlrs at the end of the first quarter
winds up feeling like lots of other quirky movies that try to score hipness points with young adults.,negative,winds up feeling like lots of other quirky movies that try to score hipness points with young adults
no amount of good intentions is able to overcome the triviality of the story.,negative,no amount of good intentions is able to overcome the triviality of the story
"given how heavy-handed and portent-heavy it is, this could be the worst thing soderbergh has ever done.",negative,given how heavy handed and portent heavy it is this could be the worst thing soderbergh has ever done
"a dark, dull thriller with a parting shot that misfires.",negative,a dark dull thriller with a parting shot that misfires
broomfield turns his distinctive'blundering' style into something that could really help clear up the case.,positive,broomfield turns his distinctive'blundering' style into something that could really help clear up the case
Bangemann said everything possible would be done to find new jobs for the workers affected by the cuts.,neutral,bangemann said everything possible would be done to find new jobs for the workers affected by the cuts
"doesn't do more than expand a tv show to movie length. however, it's pleasant enough and its ecological, pro-wildlife sentiments are certainly welcome.",positive,doesn't do more than expand a tv show to movie length however it's pleasant enough and its ecological pro wildlife sentiments are certainly welcome
there is no pleasure in watching a child suffer. just embarrassment and a vague sense of shame.,negative,there is no pleasure in watching a child suffer just embarrassment and a vague sense of shame
"this enthralling documentary... is at once playful and haunting, an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends.",positive,this enthralling documentary is at once playful and haunting an in depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends
The weather forecast predicts clouds tomorrow.,neutral,the weather forecast predicts clouds tomorrow
Enro Acquisition also assumed most of the units ' liabilities including a 6. 2 mln dlrs term loan.,neutral,enro acquisition also assumed most of the units ' liabilities including a mln dlrs term loan
The trip was exhausting and stressful.,negative,the trip was exhausting and stressful
"Brazil has the potential for becoming a leading world economic power, but it is in a difficult position today, Volcker said.",neutral,brazil has the potential for becoming a leading world economic power but it is in a difficult position today volcker said
He also said that U. S. firms had not been aggressive enough in trying to sell in the Japanese market.,neutral,he also said that u s firms had not been aggressive enough in trying to sell in the japanese market
"well-acted, well-directed and, for all its moodiness, not too pretentious.",positive,well acted well directed and for all its moodiness not too pretentious
in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life; despite the title... amounts to surprisingly little.,negative,in comparison to his earlier films it seems a disappointingly thin slice of lower class london life despite the title amounts to surprisingly little
"a movie just for friday fans, critics be damned. if you already like this sort of thing, this is that sort of thing all over again.",negative,a movie just for friday fans critics be damned if you already like this sort of thing this is that sort of thing all over again
"An additional 264, 000 tonnes of durum wheat are still avaiable to Algeria under the Export Enhancement program initiative announced on March 16.",neutral,an additional tonnes of durum wheat are still avaiable to algeria under the export enhancement program initiative announced on march
Ice creations is a molder of plastics.,neutral,ice creations is a molder of plastics
This is exactly what I wanted.,positive,this is exactly what i wanted
"the artwork is spectacular and unlike most animaton from japan, the characters move with grace and panache.",positive,the artwork is spectacular and unlike most animaton from japan the characters move with grace and panache
"The markets were telling us... be careful.""",neutral,the markets were telling us be careful
"there's an energy to y tu mamá también. much of it comes from the brave, uninhibited performances by its lead actors.",positive,there's an energy to y tu mam tambi n much of it comes from the brave uninhibited performances by its lead actors
"perhaps the grossest movie ever made. funny, though.",positive,perhaps the grossest movie ever made funny though
a perfectly pleasant if slightly pokey comedy.,positive,a perfectly pleasant if slightly pokey comedy
mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,negative,mckay deflates his piece of puffery with a sour cliche and heavy doses of mean spiritedness
"escapes the precious trappings of most romantic comedies, infusing into the story very real, complicated emotions.",positive,escapes the precious trappings of most romantic comedies infusing into the story very real complicated emotions
"In addition, the Agriculture Department last week projected a substantial drop in soybean acreage this year.",neutral,in addition the agriculture department last week projected a substantial drop in soybean acreage this year
"maelstrom is strange and compelling, engrossing and different, a moral tale with a twisted sense of humor.",positive,maelstrom is strange and compelling engrossing and different a moral tale with a twisted sense of humor
Yeutter emphasized the importance of the new multilateral trade negotiating round and called on Congress to quickly approve an extension of U. S. negotiating authority.,neutral,yeutter emphasized the importance of the new multilateral trade negotiating round and called on congress to quickly approve an extension of u s negotiating authority
The clock on the wall shows three.,neutral,the clock on the wall shows three
the movie succumbs to being nothing more than a formulaic chase in the dark.,negative,the movie succumbs to being nothing more than a formulaic chase in the dark
Orders in hand for the five months were 16. 7 pct higher at 8. 64 billion marks.,neutral,orders in hand for the five months were pct higher at billion marks
It noted the growth rate had slowed from 4. 5 pct in the third and fourth quarters of last year.,neutral,it noted the growth rate had slowed from pct in the third and fourth quarters of last year
"klein, charming in comedies like american pie and dead-on in election, delivers one of the saddest action hero performances ever witnessed.",negative,klein charming in comedies like american pie and dead on in election delivers one of the saddest action hero performances ever witnessed
"while this gentle and affecting melodrama will have luvvies in raptures, it's far too slight and introspective to appeal to anything wider than a niche audience.",positive,while this gentle and affecting melodrama will have luvvies in raptures it's far too slight and introspective to appeal to anything wider than a niche audience
majidi gets uniformly engaging performances from his largely amateur cast.,positive,majidi gets uniformly engaging performances from his largely amateur cast
"The customer support team was rude, unhelpful, and kept transferring me between departments for no reason.",negative,the customer support team was rude unhelpful and kept transferring me between departments for no reason
the film is one of the year's best.,positive,the film is one of the year's best
That was an awful experience.,negative,that was an awful experience
it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes.,positive,it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes
"aspires to the cracked lunacy of the adventures of buckaroo banzai, but thanks to an astonishingly witless script ends up more like the adventures of ford fairlane.",negative,aspires to the cracked lunacy of the adventures of buckaroo banzai but thanks to an astonishingly witless script ends up more like the adventures of ford fairlane
The meeting has been moved from the main conference room to the smaller room down the hall.,neutral,the meeting has been moved from the main conference room to the smaller room down the hall
"At the time, it said it was reviewing its alternatives.",neutral,at the time it said it was reviewing its alternatives
stale and clichéd to a fault.,negative,stale and clich d to a fault
It had been 3. 80 / 90 on Friday.,neutral,it had been on friday
novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama.,negative,novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama
"based on a david leavitt story, the film shares that writer's usual blend of observant cleverness, too-facile coincidence and slightly noxious preciousness.",negative,based on a david leavitt story the film shares that writer's usual blend of observant cleverness too facile coincidence and slightly noxious preciousness
"The level of future dividends will be influenced by the implications of the proposed dividend imputation legislation, it said.",neutral,the level of future dividends will be influenced by the implications of the proposed dividend imputation legislation it said
"As part of the deal Squibb will license several of Cetus ' anticancer agents, including interleukin - 2, in development.",neutral,as part of the deal squibb will license several of cetus ' anticancer agents including interleukin in development
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly, your first instinct is to duck.",positive,unfolds with such a wallop of you are there immediacy that when the bullets start to fly your first instinct is to duck
"too much of storytelling moves away from solondz's social critique, casting its audience as that of intellectual lector in contemplation of the auteur's professional injuries.",positive,too much of storytelling moves away from solondz's social critique casting its audience as that of intellectual lector in contemplation of the auteur's professional injuries
"my goodness, queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts. she must have a very strong back.",positive,my goodness queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts she must have a very strong back
"all the actors are good in pauline & paulette but van der groen, described as'belgium's national treasure,' is especially terrific as pauline.",positive,all the actors are good in pauline paulette but van der groen described as'belgium's national treasure ' is especially terrific as pauline
"without a fresh infusion of creativity, 4ever is neither a promise nor a threat so much as wishful thinking.",negative,without a fresh infusion of creativity ever is neither a promise nor a threat so much as wishful thinking
"it doesn't make for great cinema, but it is interesting to see where one's imagination will lead when given the opportunity.",positive,it doesn't make for great cinema but it is interesting to see where one's imagination will lead when given the opportunity
craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters.,positive,craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing.,positive,writer director alexander payne election and his co writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing
"[it] has the feel of a summer popcorn movie. nothing too deep or substantial. explosions, jokes, and sexual innuendoes abound.",positive,it has the feel of a summer popcorn movie nothing too deep or substantial explosions jokes and sexual innuendoes abound
The CPI came within the range of economists ' expectations and had little direct impact on U. S. financial markets.,neutral,the cpi came within the range of economists ' expectations and had little direct impact on u s financial markets
The new policy applies to all employees who started before the beginning of this calendar year.,neutral,the new policy applies to all employees who started before the beginning of this calendar year
"in a movie full of surprises, the biggest is that secret ballot is a comedy, both gentle and biting.",positive,in a movie full of surprises the biggest is that secret ballot is a comedy both gentle and biting
Only a marginally narrower trade deficit will add to growth.,neutral,only a marginally narrower trade deficit will add to growth
The Japanese delegation to the GATT talks said in a statement yesterday they are making major efforts to dismantle trade barriers in their country.,neutral,the japanese delegation to the gatt talks said in a statement yesterday they are making major efforts to dismantle trade barriers in their country
a vivid cinematic portrait.,positive,a vivid cinematic portrait
"""( The Japanese ) have said they are happy we are coming, but they are not going to give us anything,"" Lyng said.",neutral,the japanese have said they are happy we are coming but they are not going to give us anything lyng said
"is the time really ripe for a warmed-over james bond adventure, with a village idiot as the 007 clone?",negative,is the time really ripe for a warmed over james bond adventure with a village idiot as the clone
"a heartbreakingly thoughtful minor classic, the work of a genuine and singular artist.",positive,a heartbreakingly thoughtful minor classic the work of a genuine and singular artist
"este é apenas mais um ( longo ) episódio do programa da mtv. a única diferença é que, desta vez, a paramount teve o mau gosto de exibi-lo nos cinemas.",negative,este apenas mais um longo epis dio do programa da mtv a nica diferen a que desta vez a paramount teve o mau gosto de exibi lo nos cinemas
the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show.,negative,the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show
"the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun  toward the end, you can feel your veins cringing from the workout.",negative,the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun toward the end you can feel your veins cringing from the workout
"labute can't avoid a fatal mistake in the modern era: he's changed the male academic from a lower-class brit to an american, a choice that upsets the novel's exquisite balance and shreds the fabric of the film.",negative,labute can't avoid a fatal mistake in the modern era he's changed the male academic from a lower class brit to an american a choice that upsets the novel's exquisite balance and shreds the fabric of the film
"halfway through the movie, the humor dwindles. it's replaced by some dramatic scenes that are jarring and deeply out of place in what could have ( and probably should have ) been a lighthearted comedy.",negative,halfway through the movie the humor dwindles it's replaced by some dramatic scenes that are jarring and deeply out of place in what could have and probably should have been a lighthearted comedy
"coy but exhilarating, with really solid performances by ving rhames and wesley snipes.",positive,coy but exhilarating with really solid performances by ving rhames and wesley snipes
"remarkable for its excellent storytelling, its economical, compressed characterisations and for its profound humanity, it's an adventure story and history lesson all in one.",positive,remarkable for its excellent storytelling its economical compressed characterisations and for its profound humanity it's an adventure story and history lesson all in one
roman polanski's autobiographical gesture at redemption is better than'shindler's list' - it is more than merely a holocaust movie.,positive,roman polanski's autobiographical gesture at redemption is better than'shindler's list' it is more than merely a holocaust movie
I'm really upset about this.,negative,i'm really upset about this
"not far beneath the surface, this reconfigured tale asks disturbing questions about those things we expect from military epics.",positive,not far beneath the surface this reconfigured tale asks disturbing questions about those things we expect from military epics
"who are'they'? well, they're'they'. they're the unnamed, easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid. they exist for hushed lines like "" they're back! "", "" they're out there! "" and "" they're coming! """,negative,who are'they' well they're'they' they're the unnamed easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid they exist for hushed lines like they're back they're out there and they're coming
The bill also extends U. S. authority to negotiate multilateral trade agreements.,neutral,the bill also extends u s authority to negotiate multilateral trade agreements
"'... a great, participatory spectator sport.'",positive,' a great participatory spectator sport '
"there's a thin line between likably old-fashioned and fuddy-duddy, and the count of monte cristo... never quite settles on either side.",negative,there's a thin line between likably old fashioned and fuddy duddy and the count of monte cristo never quite settles on either side
michael gerbosi's script is economically packed with telling scenes.,positive,michael gerbosi's script is economically packed with telling scenes
"On May 11, Baxter and Carmark announced a definitive agreement for Baxter to acquire Carmark in a stock transaction valued at 528 mln dlrs.",neutral,on may baxter and carmark announced a definitive agreement for baxter to acquire carmark in a stock transaction valued at mln dlrs
love liza is a festival film that would have been better off staying on the festival circuit.,negative,love liza is a festival film that would have been better off staying on the festival circuit
"The termination is effective January 1, 1988, the Treasury said in a two - sentence announcement.",neutral,the termination is effective january the treasury said in a two sentence announcement
"dialogue-heavy and too cerebral for its own good -- or, at any rate, too cerebral for its racy subject matter.",negative,dialogue heavy and too cerebral for its own good or at any rate too cerebral for its racy subject matter
"i suspect that you'll be as bored watching morvern callar as the characters are in it. if you go, pack your knitting needles.",negative,i suspect that you'll be as bored watching morvern callar as the characters are in it if you go pack your knitting needles
"After "" a disastrous first quarter,"" Sand hopes to break even in the current fiscal year, Shattner said.",neutral,after a disastrous first quarter sand hopes to break even in the current fiscal year shattner said
"The ministry is accepting applications for phase two blocks until early April and the awards will likely be announced this summer, officials said.",neutral,the ministry is accepting applications for phase two blocks until early april and the awards will likely be announced this summer officials said
"no matter how you slice it, mark wahlberg and thandie newton are not hepburn and grant, two cinematic icons with chemistry galore.",negative,no matter how you slice it mark wahlberg and thandie newton are not hepburn and grant two cinematic icons with chemistry galore
the film's tone and pacing are off almost from the get-go.,negative,the film's tone and pacing are off almost from the get go
"Current half net includes 2, 051, 000 dlr pretax gain 2, 051, 000 dlrs from change in accounting.",neutral,current half net includes dlr pretax gain dlrs from change in accounting
"The Bank of Korea, the central bank, today fixed the won at a two - year high of 846. 90.",neutral,the bank of korea the central bank today fixed the won at a two year high of
it's quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere.,negative,it's quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere
so relentlessly wholesome it made me want to swipe something.,negative,so relentlessly wholesome it made me want to swipe something
"this is popcorn movie fun with equal doses of action, cheese, ham and cheek ( as well as a serious debt to the road warrior ), but it feels like unrealized potential",positive,this is popcorn movie fun with equal doses of action cheese ham and cheek as well as a serious debt to the road warrior but it feels like unrealized potential
a harmless and mildly amusing family comedy.,negative,a harmless and mildly amusing family comedy
"takes a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright, poet and drinker.",negative,takes a clunky tv movie approach to detailing a chapter in the life of the celebrated irish playwright poet and drinker
"I regret choosing this company; the delivery was late, damaged, and the refund process was painful.",negative,i regret choosing this company the delivery was late damaged and the refund process was painful
"Refineries abroad, he said, guarantee a refining outlet for Venezuelan crude oil while ensuring stability of supply to refiners.",neutral,refineries abroad he said guarantee a refining outlet for venezuelan crude oil while ensuring stability of supply to refiners
"The noise from the neighbors kept us up all night, and complaints to management went nowhere.",negative,the noise from the neighbors kept us up all night and complaints to management went nowhere
Bank of France buying dollars for yen - banking sources,neutral,bank of france buying dollars for yen banking sources
"Metropolitan owns 21 pct of Metex common stock, the company said.",neutral,metropolitan owns pct of metex common stock the company said
"the town has kind of an authentic feel, but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial.",negative,the town has kind of an authentic feel but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial
The article was published last year.,neutral,the article was published last year
At some time during that period all the producers cut support prices in response to growing surpluses.,neutral,at some time during that period all the producers cut support prices in response to growing surpluses
most of the action setups are incoherent.,negative,most of the action setups are incoherent
SAUDI OIL MINISTER FORESEES NO NEED FOR NEW OPEC MEASURES BEFORE JUNE 25,neutral,saudi oil minister foresees no need for new opec measures before june
"ice cube isn't quite out of ripe screwball ideas, but friday after next spreads them pretty thin.",negative,ice cube isn't quite out of ripe screwball ideas but friday after next spreads them pretty thin
"both heartbreaking and heartwarming... just a simple fable done in an artless sytle, but it's tremendously moving.",positive,both heartbreaking and heartwarming just a simple fable done in an artless sytle but it's tremendously moving
"the script is a tired one, with few moments of joy rising above the stale material.",negative,the script is a tired one with few moments of joy rising above the stale material
The password was reset this morning.,neutral,the password was reset this morning
just isn't as weird as it ought to be.,negative,just isn't as weird as it ought to be
[allen's] best works understand why snobbery is a better satiric target than middle-america diversions could ever be.,negative,allen's best works understand why snobbery is a better satiric target than middle america diversions could ever be
there is greatness here.,positive,there is greatness here
"The hotel room was dirty, the air conditioning was broken, and no one came to help.",negative,the hotel room was dirty the air conditioning was broken and no one came to help
flounders due to the general sense that no two people working on the production had exactly the same thing in mind.,negative,flounders due to the general sense that no two people working on the production had exactly the same thing in mind
Exports in the first four months were worth 2. 69 billion dlrs compared with imports of 3. 92 billion.,neutral,exports in the first four months were worth billion dlrs compared with imports of billion
"sodden and glum, even in those moments where it's supposed to feel funny and light.",negative,sodden and glum even in those moments where it's supposed to feel funny and light
A few have reached agreement with bankers to extend debt repayments.,neutral,a few have reached agreement with bankers to extend debt repayments
"lasker's canny, meditative script distances sex and love, as byron and luther... realize they can't get no satisfaction without the latter.",positive,lasker's canny meditative script distances sex and love as byron and luther realize they can't get no satisfaction without the latter
"you can feel the heat that ignites this gripping tale, and the humor and humanity that root it in feeling.",positive,you can feel the heat that ignites this gripping tale and the humor and humanity that root it in feeling
a fairly enjoyable mixture of longest yard... and the 1999 guy ritchie caper lock stock and two smoking barrels.,positive,a fairly enjoyable mixture of longest yard and the guy ritchie caper lock stock and two smoking barrels
"It said it lifted capital spending on fixed assets to 269. 6 mln dlrs from 178. 3 mln, mostly on the Shelf project.",neutral,it said it lifted capital spending on fixed assets to mln dlrs from mln mostly on the shelf project
some movies are like a tasty hors-d'oeuvre; this one is a feast.,positive,some movies are like a tasty hors d'oeuvre this one is a feast
Chartered bank general loans outstanding rose 500 mln dlrs to 125. 54 billion dlrs.,neutral,chartered bank general loans outstanding rose mln dlrs to billion dlrs
Later today the Higher Labour Tribunal in Brasilia is due to rule on whether the seamen ' s strike is legal.,neutral,later today the higher labour tribunal in brasilia is due to rule on whether the seamen ' s strike is legal
"My new laptop is fast, reliable, and has made my daily work so much easier to manage.",positive,my new laptop is fast reliable and has made my daily work so much easier to manage
"none of this is very original, and it isn't particularly funny.",negative,none of this is very original and it isn't particularly funny
